id,fires
251768,0
251769,0
251770,0
251771,0
251772,0
251773,0
251774,0
251775,0
251776,0
251777,0
251778,0
251779,0
251780,0
251781,0
251782,0
251783,0
251784,0
251785,0
251786,0
251787,0
251788,0
251789,0
251790,0
251791,0
251792,0
251793,0
251794,0
251795,0
251796,0
251797,0
251798,0
251799,0
251800,0
251801,0
251802,0
251803,0
251804,0
251805,0
251806,1
251807,0
251808,0
251809,0
251810,0
251811,0
251812,0
251813,0
251814,0
251815,0
251816,1
251817,0
251818,0
251819,1
251820,1
251821,0
251822,0
251823,1
251824,0
251825,0
251826,1
251827,1
251828,0
251829,0
251830,0
251831,1
251832,1
251833,0
251834,1
251835,1
251836,1
251837,1
251838,1
251839,1
251840,1
251841,1
251842,1
251843,1
251844,1
251845,1
251846,1
251847,1
251848,1
251849,1
251850,1
251851,1
251852,1
251853,1
251854,1
251855,1
251856,1
251857,0
251858,1
251859,1
251860,1
251861,1
251862,0
251863,1
251864,1
251865,1
251866,1
251867,1
251868,1
251869,1
251870,1
251871,1
251872,0
251873,1
251874,1
251875,1
251876,1
251877,1
251878,1
251879,1
251880,1
251881,1
251882,1
251883,1
251884,1
251885,1
251886,1
251887,1
251888,0
251889,0
251890,1
251891,1
251892,1
251893,0
251894,1
251895,1
251896,1
251897,0
251898,0
251899,1
251900,1
251901,0
251902,0
251903,0
251904,0
251905,1
251906,1
251907,0
251908,0
251909,0
251910,0
251911,0
251912,0
251913,0
251914,0
251915,0
251916,0
251917,0
251918,0
251919,0
251920,0
251921,0
251922,0
251923,0
251924,0
251925,0
251926,0
251927,1
251928,1
251929,0
251930,0
251931,0
251932,0
251933,0
251934,0
251935,0
251936,0
251937,0
251938,0
251939,0
251940,0
251941,0
251942,0
251943,0
251944,0
251945,0
251946,0
251947,0
251948,0
251949,0
251950,0
251951,0
251952,0
251953,0
251954,0
251955,0
251956,0
251957,0
251958,0
251959,0
251960,0
251961,0
251962,0
251963,0
251964,0
251965,0
251966,0
251967,0
251968,0
251969,0
251970,0
251971,0
251972,0
251973,0
251974,0
251975,0
251976,0
251977,0
251978,0
251979,0
251980,0
251981,0
251982,0
251983,0
251984,0
251985,0
251986,0
251987,0
251988,0
251989,0
251990,0
251991,0
251992,0
251993,0
251994,0
251995,0
251996,0
251997,0
251998,0
251999,0
252000,0
252001,0
252002,0
252003,0
252004,0
252005,0
252006,0
252007,0
252008,0
252009,0
252010,0
252011,0
252012,0
252013,0
252014,0
252015,0
252016,0
252017,0
252018,0
252019,0
252020,0
252021,0
252022,0
252023,0
252024,0
252025,0
252026,0
252027,0
252028,0
252029,0
252030,0
252031,0
252032,0
252033,1
252034,0
252035,0
252036,0
252037,0
252038,1
252039,0
252040,0
252041,0
252042,1
252043,0
252044,0
252045,0
252046,0
252047,0
252048,0
252049,0
252050,0
252051,1
252052,1
252053,1
252054,1
252055,1
252056,1
252057,0
252058,1
252059,1
252060,1
252061,1
252062,1
252063,1
252064,1
252065,1
252066,1
252067,1
252068,1
252069,0
252070,1
252071,1
252072,1
252073,1
252074,0
252075,0
252076,1
252077,1
252078,0
252079,1
252080,0
252081,0
252082,0
252083,1
252084,0
252085,1
252086,1
252087,0
252088,0
252089,0
252090,0
252091,0
252092,1
252093,1
252094,0
252095,1
252096,0
252097,0
252098,0
252099,1
252100,1
252101,1
252102,1
252103,1
252104,1
252105,1
252106,0
252107,0
252108,1
252109,0
252110,1
252111,1
252112,1
